"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050854","regulation of antigen receptor-mediated signaling pathway","10/263","74/18860",0.135135135135135,9.69067927242832,8.90775333599654,7.68659528546705e-08,5.97101263558302e-06,4.4535771564397e-06,"5788/2633/971/7070/1445/930/1236/9404/7805/4067",10
"GO:1902105","regulation of leukocyte differentiation","20/263","343/18860",0.0583090379008746,4.1814009688612,7.07124548904048,8.06063312288849e-08,6.13111906909706e-06,4.57299515107731e-06,"5788/914/56833/6935/6850/399/939/604/10538/942/677/4739/22890/2124/9770/3559/3398/7305/9760/4067",20
"GO:0007229","integrin-mediated signaling pathway","12/263","117/18860",0.102564102564103,7.35497708881739,8.19979748318658,8.8141416613542e-08,6.56743493991922e-06,4.89842845927461e-06,"8613/6850/7070/1281/3684/4739/2335/2268/10451/7305/9636/7076",12
"GO:0071222","cellular response to lipopolysaccharide","16/263","229/18860",0.0698689956331878,5.01037740548259,7.2610706426066,1.46738996935754e-07,1.07148815562488e-05,7.99186915942729e-06,"10563/4283/3627/923/929/942/4318/9450/4792/29108/3148/5336/4208/3394/10062/4067",16
"GO:1901990","regulation of mitotic cell cycle phase transition","20/263","357/18860",0.0560224089635854,4.01742446027841,6.84486991932521,1.54207653474207e-07,1.10394537810653e-05,8.23395664680645e-06,"199/10403/6241/1843/1026/983/472/8870/5728/9787/677/7465/51379/672/5721/1063/605/3398/5884/4085",20
"GO:0002366","leukocyte activation involved in immune response","19/263","325/18860",0.0584615384615385,4.19233694062591,6.90350856045132,1.64965860606987e-07,1.15825068668483e-05,8.63900164757644e-06,"5450/5788/11151/6850/604/7462/10538/930/5361/942/1794/3936/3684/2268/29108/7305/5336/3394/4067",19
"GO:1901987","regulation of cell cycle phase transition","23/263","468/18860",0.0491452991452991,3.52425985505833,6.57594643337955,1.87837766218641e-07,1.29395412163068e-05,9.65116784920805e-06,"199/10403/6241/1843/1026/983/472/8870/5728/9787/677/7465/51379/672/5721/1063/605/3398/5884/5336/4085/988/4067",23
"GO:0002263","cell activation involved in immune response","19/263","329/18860",0.0577507598784195,4.14136627873381,6.83569784184629,1.99357719812217e-07,1.34787969450816e-05,1.00533805293218e-05,"5450/5788/11151/6850/604/7462/10538/930/5361/942/1794/3936/3684/2268/29108/7305/5336/3394/4067",19
"GO:0097529","myeloid leukocyte migration","16/263","237/18860",0.0675105485232067,4.84125074200638,7.07681377684759,2.34461725366334e-07,1.54238252940619e-05,1.15041116451839e-05,"10563/6352/199/56833/4283/6850/1843/3627/7422/1236/6279/5800/10451/7941/51192/4067",16
"GO:0090025","regulation of monocyte chemotaxis","7/263","32/18860",0.21875,15.6867870722433,9.88815924305479,2.36574696375642e-07,1.54238252940619e-05,1.15041116451839e-05,"6352/199/56833/1843/3627/7941/4067",7
