"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"217715_x_at",-0.0553702451380661,7.18097425930179,-0.316260061824047,0.754841762437527,0.894355239665837,-6.99263019410609
"205935_at",-0.0506600585208494,5.97730262254779,-0.315970962482554,0.755058188457107,0.894533697184624,-6.99272466140557
"212160_at",-0.052964975584037,7.64439949747279,-0.315951618905336,0.75507267021252,0.894533697184624,-6.99273097913798
"200068_s_at",0.0398531007761904,10.7528070439286,0.315727397211015,0.755240542669592,0.894648287463167,-6.99280418337066
"396_f_at",-0.0718033849330395,9.4590851770291,-0.315715174312812,0.755249694182545,0.894648287463167,-6.99280817244079
"214909_s_at",-0.0647336734434417,7.67506180170053,-0.315122026126901,0.755693839522105,0.89506692827278,-6.99300156865665
"217271_at",0.101219209612351,3.99645339110141,0.315120706454241,0.755694827780506,0.89506692827278,-6.99300199853475
"210005_at",-0.073565381036953,5.79960891623379,-0.315023861390446,0.755767352954684,0.89506692827278,-6.99303354055903
"206354_at",-0.0779098360537633,2.80733072042298,-0.31501530752265,0.755773758872087,0.89506692827278,-6.9930363260556
"211789_s_at",0.108154153982985,2.62513593942691,0.314974999135485,0.755803945715596,0.89506692827278,-6.99304945114119
"217712_at",-0.141600225518345,2.07578222084052,-0.314773904464867,0.755954550939773,0.895171711900698,-6.99311490607228
"219504_s_at",0.142896060800014,4.16681065223314,0.314749576044313,0.755972771823692,0.895171711900698,-6.99312282199724
"222296_at",-0.0851866999486028,2.93371261545597,-0.314579026627279,0.756100509683755,0.895275394935071,-6.99317829794966
"208582_s_at",-0.11016196725738,1.59562186951988,-0.314253376723365,0.756344434310453,0.895508035899254,-6.99328414190759
"217288_at",0.160057238105166,3.3228855797773,0.314185227265467,0.756395484234061,0.895508035899254,-6.99330627835696
"208514_at",-0.135111943839413,4.91944517898149,-0.314155771780918,0.756417549328895,0.895508035899254,-6.99331584467665
"220891_at",0.104098634501313,4.21644680949538,0.313996877937131,0.756536580328018,0.895601371696819,-6.99336743363756
"221686_s_at",0.121660973371224,4.800994567281,0.313580944679936,0.756848194690611,0.895871569900346,-6.99350235458664
"206372_at",0.203556259856173,4.75530558294888,0.313558314231353,0.756865150483343,0.895871569900346,-6.99350969039671
"203700_s_at",0.0585230359321416,6.78626750896272,0.31344152355978,0.756952657520327,0.895871569900346,-6.9935475405283
"205741_s_at",-0.0683892916940337,5.34513308072275,-0.313433647081136,0.756958559201743,0.895871569900346,-6.99355009267578
"207760_s_at",0.0723305534458154,9.15429063334708,0.313368012513827,0.757007738406227,0.895871569900346,-6.99357135720767
"218573_at",-0.0768386076504797,7.71101734360696,-0.313319596558626,0.757044016583688,0.895871569900346,-6.99358704036126
"219859_at",-0.131685847368653,5.14522247292075,-0.31319836288632,0.757134859744841,0.895871569900346,-6.9936263004829
"219790_s_at",0.0746083000679278,2.59800397044698,0.313171588075387,0.75715492320695,0.895871569900346,-6.99363496916583
"215435_at",0.0768095424018286,5.38748613360489,0.313086272293623,0.757218854984116,0.895871569900346,-6.99366258632881
"203913_s_at",-0.151821565229469,4.81490827098313,-0.313072250417159,0.757229362512548,0.895871569900346,-6.99366712456985
"220230_s_at",-0.0919682918015239,5.7449540823782,-0.312979662095488,0.757298746331075,0.895871569900346,-6.9936970861254
"214998_at",0.123701050400806,4.47706659458152,0.312978460138185,0.757299647067377,0.895871569900346,-6.99369747502071
"215236_s_at",-0.0962032889433221,6.93603433293992,-0.312927907740099,0.757337530912403,0.895871569900346,-6.99371382999442
"208546_x_at",-0.136686739910475,3.31630437747886,-0.312905709200445,0.757354166641645,0.895871569900346,-6.99372101095379
"211349_at",-0.0892293834931174,4.96680711299573,-0.312878005302018,0.757374928291203,0.895871569900346,-6.99372997212211
"217274_x_at",0.0547464133592093,6.20814894390305,0.312819840660134,0.757418518214504,0.895871569900346,-6.99374878363621
"219720_s_at",0.0676649970257747,5.58030003913904,0.312780107183984,0.757448295872303,0.895871569900346,-6.99376163218024
"217914_at",0.0790915428508069,8.34544549076477,0.312510293316298,0.757650514022768,0.8959541382311,-6.99384883863526
"212210_at",-0.125185552294781,3.1472719041648,-0.312429640937878,0.757710964233982,0.8959541382311,-6.99387489178707
"218540_at",0.105659088472385,7.09806021148868,0.312427778294633,0.757712360332792,0.8959541382311,-6.99387549339831
